"patch","betweenness","closeness","degree","area_m2","betweenness_rank","closeness_rank","degree_rank","area_rank"
1,0,1,1,51,NA,NA,349,190
2,0,1,1,29,NA,NA,349,334.5
3,0,1,1,109,NA,NA,349,97.5
4,0,1,1,80,NA,NA,349,127
5,0,1,1,29,NA,NA,349,334.5
6,0,1,1,36,NA,NA,349,257.5
7,0,0.000302846759539673,2,56,NA,371,331,180.5
8,151.5,0.000333444481493831,3,29,168,365,300,334.5
9,0,0,0,56,NA,NA,NA,180.5
10,238.223953636804,0.000393236335037357,7,43,143,339,191,211.5
11,151.5,0.000333444481493831,3,42,168,365,300,216.5
12,4.87222222222222,0.000373273609555804,5,38,250,355,254,232.5
13,378.65373707966,0.000420521446593776,7,36,112,322,191,257.5
14,552.807273340887,0.000420698359276399,8,29,93,321,161,334.5
15,451.29500972603,0.000436109899694723,12,364,102,304,55,44
18,5.78888888888888,0.00037397157816006,6,29,249,354,229,334.5
19,8.9,0.000374111485222596,7,58,240,352,191,172.5
20,906,0.000370644922164566,3,36,67,357,300,257.5
21,187.138966611162,0.000435729847494553,10,29,162,305,93,334.5
22,1.72198879551821,0.00043308791684712,10,67,265,308,93,143
24,1848.65672792265,0.000416666666666667,7,90,35,328,191,113
25,8.9,0.000374111485222596,7,29,240,352,191,334.5
26,192.237032258448,0.0004510599909788,9,29,157,292,126,334.5
27,774.526511273227,0.000452488687782805,13,473,78,289,37,32
28,0,0,0,87,NA,NA,NA,119
29,368.201117120817,0.000415627597672485,9,52,114,329,126,188
33,200.19000180499,0.000478697941598851,8,149,153,259,161,81
34,506.910866023932,0.000416840350145894,10,29,97,325,93,334.5
35,584.412372685067,0.000479616306954436,12,52,90,256,55,188
36,54.7232647296207,0.00047192071731949,5,84,205,268,254,123
37,881.242556450064,0.000479156684235745,12,29,69,258,55,334.5
38,273.261572458201,0.000451467268623025,10,129,131,291,93,88
41,584.412372685067,0.000479616306954436,12,202,90,256,55,64.5
42,25968.5312914244,0.000733675715333822,59,143015,1,69,1,1
44,0,0.000414250207125104,4,29,NA,331,276,334.5
47,794.573091542225,0.000442282176028306,7,63,75,299,191,160
48,553.794015893869,0.000478697941598851,10,29,92,259,93,334.5
49,111.690793465254,0.000529941706412295,2,89,179,198,331,114
51,1978.0024113287,0.000463177396943029,7,29,33,277,191,334.5
53,1460.66445540234,0.000466635557629491,5,29,45,270,254,334.5
54,2362.440629184,0.000540540540540541,9,85,24,191,126,121.5
56,1749.88875389554,0.000539665407447383,7,63,36,193,191,160
57,375.794316260684,0.000518134715025907,7,29,113,216,191,334.5
58,358.967528735634,0.000608272506082725,2,71,115,109,331,137
59,131.595853168185,0.000519210799584631,7,29,174,214,191,334.5
60,459.912118998881,0.000522193211488251,8,36,100,207,161,257.5
61,700.127814810167,0.000547045951859956,4,41,80,174,276,222
62,2057.48303621157,0.000527148128624143,8,36,32,203,161,257.5
63,0,0.000432900432900433,5,43,NA,309,254,211.5
64,491.359457703684,0.000521648408972353,9,29,98,208,126,334.5
65,2293.19492968398,0.00062111801242236,4,65,26,92,276,151.5
67,2293.19492968398,0.00062111801242236,4,36,26,92,276,257.5
68,491.359457703684,0.000521648408972353,9,64,98,208,126,156.5
70,46.1257635213097,0.000492610837438424,7,121,208,243,191,92
72,46.1257635213097,0.000492610837438424,7,75,208,243,191,133
73,46.1257635213097,0.000492610837438424,7,102,208,243,191,103
74,0,0,0,60,NA,NA,NA,169
75,2878.48288370136,0.000599520383693046,13,273,21,140,37,50
78,0,0.000357015351660121,1,29,NA,362,349,334.5
81,79.8497815619941,0.00049480455220188,9,136,191,240,126,82.5
86,2143.45017087519,0.00057372346528973,12,679,31,157,55,24
90,3.27046102060082,0.000627746390458255,6,201,258,91,229,66.5
91,304,0.00040048057669203,2,64,122,337,331,156.5
93,0,0.000599880023995201,1,29,NA,139,349,334.5
95,7684.81250693501,0.000632511068943707,13,1388,5,86,37,11
98,422.559126046969,0.000591366055588409,9,108,103,147,126,100
99,1307.25055295815,0.00056657223796034,10,29,48,166,93,334.5
100,2.33099976841621,0.00060938452163315,6,29,260,108,229,334.5
101,127.393807656837,0.000497512437810945,10,69,176,235,93,139.5
105,42.6386157752365,0.000497760079641613,10,56,213,234,93,180.5
106,1,0.000601684717208183,6,73,277,127,229,136
107,0.816666666666667,0.000602409638554217,8,560,279,119,161,28.5
109,231.057569095751,0.000638162093171666,10,57,146,83,93,176
110,140.198126225748,0.000589970501474926,9,36,172,148,126,257.5
112,6837.16950208724,0.000648508430609598,11,1011,8,73,71,16
113,140.198126225748,0.000589970501474926,9,57,172,148,126,176
115,231.057569095751,0.000638162093171666,10,53,146,83,93,185.5
