"distance","percent_connected","connectance","modularity","comp_number","comp_largest","comp_fraction","prob_connectivity","scenario"
50,98.1216457960644,0.0135841756045375,0.812132059229578,57,764,0.683363148479428,0.963801318547846,"pres"
50,97.3733583489681,0.0131983898387196,0.841353111587402,61,705,0.661350844277674,0.967242738895051,"ssp245"
50,95.1653944020356,0.0382458326842187,0.830806980963982,35,306,0.778625954198473,0.843912150380302,"ssp585"
