"patch","area_m2","longitude","latitude"
1,214015,658303.466682279,5212780.74989659
8,62,658595.991513507,5213065.72319614
12,45,658484.483346493,5213049.72344282
17,121,658507.542886646,5212999.47628363
18,52,658447.980672987,5212998.72422911
24,2171652,658728.398777682,5211541.85046139
29,596,658465.750430845,5212939.31910473
30,1127,658429.281432976,5212899.26702249
35,45,658722.500779221,5212882.72601754
36,75,658490.577126144,5212876.63277815
37,45,658716.50033974,5212870.72620255
39,45,658704.499460779,5212869.72621796
41,159,658891.30559555,5212844.40585363
43,45,658503.484738182,5212842.72663424
52,56,658467.982137922,5212830.22682696
58,2454,658705.911137114,5212778.0744118
62,195,657781.954969263,5212775.33792963
64,45,657763.430535584,5212765.72782138
65,71,657805.898434725,5212765.44613559
66,45,657741.428924156,5212750.72805265
70,52,657718.42723948,5212739.22822995
71,155,657742.306407779,5212738.68952858
73,128,657917.559011668,5212734.45486604
76,158,657945.386900296,5212732.74731721
78,76,657877.938922338,5212723.22847663
80,45,657907.441083117,5212722.72848434
82,345,657842.720400855,5212709.09101344
86,258,658782.49742152,5212704.61636048
89,158,658868.169676061,5212698.12126879
91,209,658395.902696044,5212686.31756246
92,45,657831.435516364,5212682.72910103
94,608,657632.401201972,5212673.04503981
95,119,657819.930472038,5212680.2333412
97,58,658310.074020788,5212680.33258626
98,341,657720.565225982,5212676.42421291
101,63,658014.893397518,5212676.76093908
102,82,657743.12417027,5212675.72920896
103,399,657951.396683438,5212668.26065242
105,87,657906.44100987,5212670.72928605
107,45,657975.446063896,5212669.72930146
108,158,657811.478358471,5212665.88758854
109,152,658948.260735246,5212660.47286523
111,45,657997.447675325,5212661.7294248
112,52,658091.954597143,5212661.7294248
117,65,657764.784480903,5212653.59108874
118,56,658017.949176883,5212654.22954043
119,45,657734.428411428,5212650.7295944
122,2022,658062.048351377,5212623.70923947
124,232,658353.021131811,5212642.13489932
127,78,658809.160972488,5212642.89638183
129,372,657643.986303452,5212631.14656299
130,45,658388.476314805,5212639.72976399
131,45,657746.42929039,5212637.72979482
134,100,657662.21312228,5212632.72987191
135,86,657674.924053247,5212633.72985649
136,147,658786.866037639,5212630.6278635
141,81,657737.601483335,5212629.86571854
143,110,658484.983383117,5212625.22998754
144,86,657707.763667768,5212619.36961278
145,416,657958.964087503,5212599.42990455
147,45,658713.50012,5212600.73036527
148,56,657655.922661558,5212598.23040381
150,73,657915.441669091,5212592.73048861
151,234,657888.533715409,5212588.67499558
153,45,658479.48298026,5212585.73059653
157,285,659079.948011784,5212565.27126284
162,230,659129.591464673,5212537.81394399
164,45,657577.416911688,5212538.73132116
165,58,658213.066915853,5212532.12797469
166,107,657700.108140755,5212529.3950165
167,184,657715.225918055,5212528.66625894
168,914,657785.072164411,5212500.91571162
169,211,657724.972742579,5212508.95452906
171,662,658756.462481124,5212498.15641802
172,52,658745.502463896,5212511.23174513
175,203,657648.624097445,5212503.007734
176,59,657662.423137662,5212506.73181451
181,52,658879.512278961,5212499.23193014
182,114,658779.803221745,5212491.039074
186,164,657727.055920237,5212486.35407991
187,45,657645.421892468,5212487.73210745
193,979,657665.196578791,5212463.33820366
194,214,658780.135841614,5212471.58282372
200,63,657960.476713552,5212469.28794737
201,125,658417.382431929,5212459.10054888
202,63,658931.960564791,5212456.70083985
207,157,657981.057939886,5212449.10212978
208,80,658941.51682026,5212449.38269871
210,157,658962.989730545,5212441.33791828
217,201,658549.383622268,5212431.27029139
219,45,658783.505247273,5212436.73289374
221,102,659318.318927573,5212431.11533329
224,45,657928.442621299,5212423.73309417
228,127,658532.896341147,5212415.26078384
232,198,658932.773755663,5212410.35451255
233,58,658687.101634814,5212411.33673356
236,993,658501.944846949,5212386.03881128
238,45,657743.429070649,5212401.73343335
240,52,658133.457636883,5212398.23348731
243,353,659316.05133384,5212391.34549153
247,89,657725.41651543,5212390.81225341
250,144,658471.947706143,5212386.06700822
255,45,657754.429876364,5212382.73372628
260,66,659493.663320842,5212381.3246571
262,103,658504.785804347,5212376.13188632
263,358,657784.197419708,5212369.3596308
266,453,659362.905299231,5212361.38085461
270,45,658927.515794805,5212360.73406547
271,56,658834.008946234,5212356.23413485
273,45,657682.424602597,5212354.73415797
274,208,657871.741353034,5212346.8112032
276,1491,658818.385065501,5212319.50331282
