"patch","area_m2","longitude","latitude"
1,92,658642.994956104,5213155.39572664
2,118,658663.84394074,5213146.62872842
3,191657,658505.184717121,5212454.48412928
4,1489,658796.635154526,5213080.1360028
5,291,658533.253241492,5213079.3759066
7,52,658615.992978442,5213005.72412119
8,1738,658656.436101658,5212967.4370245
9,45,658672.497116883,5212991.72433703
11,158,658698.935762147,5212977.83214615
12,109,658586.08711837,5212975.88054461
13,118,658721.958366613,5212973.84325679
15,119827,658885.337469642,5212641.74544721
17,45,658608.492429091,5212961.72479956
19,89,658698.015839842,5212939.26447169
20,45,658670.49697039,5212924.72537
21,341,658732.510309987,5212919.84861235
23,45,658518.485836883,5212894.72583253
24,4834,658215.5068817,5212819.48185402
29,45,658530.486715844,5212838.72669591
30,80,658065.952692727,5212831.72680383
32,45,658516.48569039,5212830.72681925
33,330,658749.578520008,5212805.57266161
34,551,658535.37092112,5212798.07759486
35,78,658131.957527013,5212797.22733573
36,45,658595.491476883,5212789.72745136
38,45,658569.489572468,5212781.7275747
39,45,658597.491623377,5212778.72762096
43,2433,658168.779171682,5212732.6095486
47,90,658504.484811429,5212742.22818369
48,59,658463.481808312,5212741.7281914
52,799,658267.190835944,5212700.88026048
55,60,658850.010118182,5212723.22847663
56,45,658655.495871688,5212718.72854601
58,120,658964.868530571,5212690.2289854
59,684,658170.888740962,5212669.16936857
61,45,658456.481295584,5212658.72947105
63,52,658615.992978442,5212655.72951731
67,117,658630.058111156,5212638.64431064
69,1178,658282.640889248,5212620.45926313
70,270,658557.136815883,5212636.27796535
72,45,658489.483712727,5212632.72987191
74,97,658860.077865867,5212622.8434264
75,4303,658630.905411573,5212573.80026688
77,9056,657973.440285365,5212565.03270452
79,93,658332.128101762,5212598.54760323
80,162,658348.664756976,5212590.90952903
89,157,658688.63205659,5212576.92818447
92,45,658357.474044156,5212579.73068904
94,187,658862.436161973,5212572.57571914
99,52,657826.935186753,5212573.73078154
100,45,658758.503416104,5212563.73093572
107,458,657998.834239761,5212549.2049588
108,120,658892.088200039,5212547.81451445
109,252,658659.047719132,5212542.45745418
111,179,658520.391004353,5212541.87093755
112,76,658544.987777922,5212541.23128261
113,45,658591.491183896,5212541.7312749
114,72,658608.82578684,5212540.4118508
116,52,658667.996787273,5212536.73135199
125,160,658454.262383068,5212520.36285435
127,52,657650.422258701,5212506.23182222
129,8397,658877.521541279,5212375.41134305
132,66,658824.614318764,5212485.1412383
135,45,659285.542017143,5212475.73229246
137,643,657658.152218322,5212463.00309525
142,893,658728.654645393,5212440.6779617
146,86,658359.392789339,5212448.721081
147,259,657951.80726692,5212442.0764407
151,310,658911.756576062,5212427.23949172
152,45,658348.473384935,5212428.73301708
154,537,658968.377260553,5212403.31441456
155,78,659216.036926494,5212412.73326376
156,816,658060.204722718,5212395.49946084
157,217,658810.474964508,5212410.1756995
159,523,659188.047304793,5212403.49057643
160,161,659156.867996606,5212405.27375144
162,19342,659400.660778454,5212298.87890292
163,1143,658748.409938436,5212386.92351295
164,795,659371.154576834,5212389.29588926
165,309,659244.82382453,5212392.21578074
168,209,659206.301763716,5212390.48958757
169,79127,659108.012313627,5212183.19483858
172,1315,658990.776701887,5212367.75829177
174,90,659073.470929206,5212387.01143811
175,351,659274.885966024,5212382.71378357
179,431,659089.383798734,5212363.89642971
180,56,659382.049085455,5212379.23378024
182,151,659477.43686649,5212375.98548596
183,100,658780.925058296,5212375.13384345
186,58,659330.148732476,5212375.33728859
187,494,659235.884534006,5212362.5518512
188,471,659299.672563761,5212364.13741002
191,78,659073.103380919,5212369.90059081
193,89,658043.248782671,5212366.11600496
195,158,658790.923512116,5212359.53788138
203,877,658776.424911139,5212337.74012124
204,86,658977.263624452,5212353.25743655
206,1985,658250.725671601,5212327.86857721
208,219,658169.199980729,5212345.28681504
209,709,659262.096012196,5212337.7189055
212,274,659342.706787912,5212341.12852832
213,64,658861.51096052,5212344.23431986
220,58,658293.072775593,5212337.1309811
221,52,659306.543555325,5212336.2344432
222,209,659233.901871311,5212330.71060492
223,45,658958.518065454,5212334.73446632
226,72,659361.519804084,5212330.67897329
227,118,658969.069685728,5212328.95489441
228,111,658809.335967979,5212325.32019705
232,56,658987.020152987,5212324.2346282
233,45,658995.520775584,5212323.73463591
236,56,658355.973934286,5212322.23465904
239,131,658381.903314305,5212317.97899946
241,326,659241.207481676,5212311.38206562
242,244,659011.841643078,5212313.41512289
244,218,659033.142797129,5212307.06058106
245,116,658929.127981849,5212308.6314205
246,604,658750.411763857,5212294.49998731
247,107,658826.059765894,5212307.07134142
248,232,658439.09209094,5212303.39012199
250,1555,658708.854120557,5212271.64797917
251,133,659045.494360531,5212296.02077748
254,110,658976.72849012,5212290.48969393
255,204,658929.893419926,5212284.68131646
259,1077,659404.547019214,5212263.14318384
260,86,659292.019235729,5212283.04921668
261,158,659068.728669078,5212276.27967136
262,678,658768.570525114,5212262.75769993
263,103,658904.446143987,5212275.62858148
264,257,659049.108358001,5212274.48247698
265,45,659088.527587533,5212277.73534512
267,146,658945.160922775,5212271.66694553
268,746,658432.959465575,5212253.85501625
269,58,658301.866523108,5212270.13201407
271,325,658153.228315684,5212256.47413445
275,1444,657713.462194393,5212236.78445294
