"patch","area_m2","longitude","latitude"
1,154582,658231.575566987,5212772.94637075
4,28,658570.489645714,5213155.50752615
5,9,658577.490158441,5213156.72179315
8,12,658519.48591013,5213143.22200128
10,9,658602.49198961,5213137.72208608
16,15,658704.09943148,5213131.32218475
18,9,658507.485031169,5213129.72220942
20,9,658595.491476883,5213125.72227109
23,9,658575.490011948,5213109.72251777
25,22,658574.535396576,5213102.17717955
26,9,658608.492429091,5213103.72261027
32,16,658595.991513507,5213065.72319614
35,54,658473.556620279,5213055.51964975
37,25,658619.533237735,5213054.48336943
40,9,658484.483346494,5213049.72344282
41,16,658495.984188831,5213048.22346594
42,32,658504.76608203,5213046.37974437
46,37,658496.132848368,5213036.0750046
47,9,658774.504588052,5213035.72365866
50,9,658798.506345974,5213025.72381284
53,84,658823.639139116,5213011.47403254
56,9,658510.485250909,5213003.72415202
57,12,658447.980672987,5212998.72422911
58,24,658506.109930454,5212997.34925031
61,252,658827.274325996,5212983.15304061
66,913,658853.135757841,5212965.78716847
67,1563464,658671.166506546,5211479.32507334
77,18,658410.811283983,5212957.72486123
80,263,658466.748207243,5212941.93803238
83,51,658862.0992389,5212952.62690061
84,9,658869.511546494,5212954.72490748
86,9,658475.482687273,5212949.72498457
87,21,658869.511546494,5212946.72503082
89,37,658811.777588249,5212936.37383906
91,34,658457.246057479,5212922.66657822
92,1875,658834.19802675,5212906.83391251
93,22,658446.935141865,5212917.63457024
96,9,658430.479391169,5212913.7255396
99,635,658427.778405944,5212896.51163177
102,21,658425.52664747,5212908.15419692
106,15,658509.485177662,5212896.72580169
108,9,658790.50576,5212896.72580169
109,760,658795.274530324,5212887.25752662
111,12,658376.975472467,5212894.72583253
114,58,658862.252394133,5212882.95015202
115,9,658504.484811428,5212885.72597129
118,9,658397.476974026,5212883.72600212
119,9,658722.500779221,5212882.72601754
121,24,658490.567125411,5212876.64277799
123,402,658763.650559257,5212870.62172655
128,9,658716.50033974,5212870.72620255
130,9,658704.499460779,5212869.72621796
131,5575,658799.164869541,5212826.82140861
132,12,658743.002280779,5212862.72632589
135,26,658894.513377662,5212847.22656486
142,9,658888.512938182,5212844.7266034
145,9,658503.484738182,5212842.72663424
147,27,658819.730122655,5212841.39332146
148,18,658888.512938182,5212840.39333688
149,27,658619.233956556,5212838.54151358
150,457,658801.81512223,5212826.88442772
160,14,658467.982137922,5212830.22682696
163,15,657969.445624416,5212828.72685008
167,23,658491.092526211,5212826.68340333
170,18,658022.116148745,5212825.56023224
176,30,657954.944562338,5212821.36029699
177,22,658020.54027575,5212819.81789653
179,9,658012.448774026,5212819.72698884
180,54,658015.578632891,5212811.28267459
182,14,658816.007627792,5212811.22711989
184,19,658210.042193411,5212808.25348152
185,41,658687.522607615,5212807.9954624
190,29,658676.738806861,5212804.62377342
191,16,658026.949836104,5212804.22722781
193,22,658805.006822078,5212803.22724323
199,1374,658712.964418464,5212773.85287806
200,9,658784.505320519,5212802.72725094
201,12,657852.937091169,5212801.72726636
205,58,658681.463290819,5212798.00318584
207,260,658794.044480719,5212792.06203075
212,9,658688.498288831,5212795.72735886
213,15,658066.852758649,5212791.12742978
215,12,658655.995908312,5212791.72742053
216,9,658077.453535065,5212790.72743595
217,97,658776.329463976,5212785.25329354
218,9,658684.497995844,5212789.72745136
219,14,658689.998398701,5212789.22745907
220,24,658682.122821883,5212785.76917906
226,20,658688.648299818,5212780.1775986
227,6562,658913.72173361,5212727.71133954
229,93,657781.948020863,5212775.28681379
234,51,658285.037366244,5212766.17879482
235,21,657929.156959332,5212765.15640162
236,9,657763.430535584,5212765.72782138
237,21,657805.862214768,5212765.4421115
238,9,657921.442108571,5212763.72785222
239,71,657931.75272289,5212756.34768431
241,9,658676.49740987,5212759.72791389
243,59,658701.533141827,5212758.10082033
244,9,658667.496750649,5212757.72794472
245,12,657962.945148312,5212756.72796014
249,9,657957.444745454,5212753.72800639
251,9,657741.428924156,5212750.72805265
253,12,658320.971370649,5212750.72805265
256,9,658674.497263376,5212746.72811432
257,15,658699.499094545,5212745.72812973
258,33,657933.988482031,5212742.45545292
260,62,658700.079782237,5212738.66372252
261,21,658710.49990026,5212742.72817599
265,12,657718.42723948,5212739.22822995
266,58,657742.618666467,5212738.69375543
267,37,657901.629846683,5212736.62016205
271,48,657892.231635822,5212734.91579644
272,44,657917.714562833,5212734.36466857
273,1099,658776.79046976,5212730.3498409
277,9,658689.498362078,5212735.72828391
278,68,657945.649763927,5212732.80185844
283,151,658848.13912022,5212723.5364189
284,18,657877.938922337,5212723.22847663
285,155,658394.289643807,5212718.74790054
286,9,658743.502317403,5212724.7284535
287,46,658757.351157798,5212722.64152915
288,9,657907.441083117,5212722.72848434
289,16,658880.512352208,5212722.22849204
292,69,658003.129250872,5212715.94598021
296,152,658804.960766073,5212711.14971549
297,12,658439.980087013,5212715.72859226
298,9,658054.45185039,5212714.72860768
300,134,657843.645365854,5212710.5047922
303,176,658747.263956547,5212709.88209149
305,9,658775.504661299,5212711.72865393
306,12,657994.947492208,5212710.72866935
307,70,658051.594498256,5212705.87160137
309,14,658434.979720779,5212710.22867705
310,36,658059.841133997,5212707.6176062
312,32,658010.261113799,5212706.5412339
314,15,658773.904544104,5212706.12874027
315,41,658782.431997935,5212705.1433896
318,9,658824.50825039,5212704.72876185
319,30,658833.008872987,5212704.72876185
320,18,657839.936138961,5212702.72879269
321,12,658844.009678701,5212700.72882352
322,55,658868.220542848,5212698.01977438
323,23,658791.37538891,5212699.03319749
325,256,658731.286578955,5212694.01017711
328,152,658925.331424292,5212687.45271242
329,48,658050.784915152,5212686.31237912
330,9,658062.452436364,5212688.72900853
331,106,658395.891952276,5212686.31395142
333,31,658070.001376355,5212683.66457048
334,9,657831.435516364,5212682.72910104
336,410,657632.552657224,5212673.16827284
337,46,657819.80422969,5212680.29435597
340,12,658297.969685974,5212680.72913187
341,15,658310.07057226,5212680.32913804
342,172,657721.462345497,5212676.49663899
345,17,658014.860715386,5212676.78801616
346,28,657743.107618534,5212675.72920896
347,51,658049.451484156,5212674.3566811
348,143,658061.871974269,5212671.47752626
349,9,657963.445184935,5212674.72922438
350,9,657942.443646753,5212673.72923979
351,61,657958.018557973,5212669.86044698
353,9,657909.44122961,5212671.72927063
354,35,657947.358292423,5212670.78642802
355,125,658076.989501079,5212664.4733825
356,9,657903.44079013,5212669.72930146
357,9,657975.446063896,5212669.72930146
