"patch","area_m2","longitude","latitude"
1,56,658642.994956104,5213155.43609868
2,70,658663.853626679,5213146.67909084
3,163539,658484.935155617,5212472.17359984
4,492,658784.856972291,5213095.37111302
5,205,658533.203988032,5213079.45469175
8,695,658805.732774528,5213069.11307193
11,26,658615.992978442,5213005.72412119
12,66,658617.97797231,5212989.99709094
13,21,658672.497116883,5212991.72433703
14,57,658627.599091647,5212983.6718296
16,616,658670.217729158,5212963.62249757
17,88,658698.942235579,5212977.73591634
18,182,658640.412349368,5212975.25755795
19,63,658586.078089021,5212975.91505697
21,67,658721.993279364,5212973.87386598
23,59,658798.82840346,5212968.86028276
24,96,658634.233897765,5212964.22476101
25,96065,658876.915107528,5212649.24948398
27,37,658692.012059698,5212963.29234296
28,21,658608.492429091,5212961.72479956
29,46,658649.995468831,5212954.6162135
31,208,658745.343798429,5212944.55679502
32,26,658682.997885974,5212943.72507707
33,49,658698.009189505,5212939.27616607
35,21,658670.49697039,5212924.72537
36,228,658733.133136897,5212919.7079035
43,458,658391.120613281,5212877.39203864
44,21,658518.485836883,5212894.72583253
46,21,658781.505100779,5212889.72590962
49,79,658275.316128062,5212881.4348982
50,4178,658213.272721521,5212817.46948415
59,21,658530.486715844,5212838.72669591
64,46,658065.952692727,5212831.72680383
67,21,658516.48569039,5212830.72681925
68,26,658534.987045455,5212828.72685008
70,86,658548.197315319,5212822.68043168
71,102,658560.930122032,5212819.05052868
72,237,658749.642007588,5212805.45716665
73,420,658535.682334474,5212797.91303945
75,42,658131.957527013,5212797.22733573
76,21,658595.491476883,5212789.72745136
80,21,658569.489572468,5212781.7275747
81,21,658597.491623377,5212778.72762096
83,26,658624.993637662,5212777.72763637
86,2102,658169.073470935,5212732.37391126
87,37,658926.948185665,5212759.21440829
91,52,658504.484811428,5212742.22818369
92,31,658463.481808312,5212741.7281914
93,952,658462.750662325,5212716.26534869
97,505,658269.40818815,5212705.44558248
101,32,658850.010118182,5212723.22847663
102,21,658655.495871688,5212718.72854601
106,443,658983.774994314,5212695.52574347
107,36,658482.983236623,5212703.72877727
114,76,658964.834317539,5212690.2289854
115,571,658170.892953129,5212669.25470283
117,64,658253.544557216,5212672.01051629
118,159,658992.375891161,5212668.58466502
121,21,658456.481295584,5212658.72947106
122,21,658434.479684156,5212655.72951731
123,26,658615.992978442,5212655.72951731
131,306,658592.445502158,5212639.72649607
132,75,658630.080676911,5212638.63644751
135,994,658282.811634128,5212620.83166501
136,190,658557.157090272,5212636.27718564
138,21,658489.483712727,5212632.72987191
140,1298,658712.839825106,5212603.28271421
141,59,658860.104077816,5212622.86561722
143,2115,658905.858889474,5212584.40532146
144,3667,658632.5304591,5212575.06073104
146,7540,657978.023573631,5212564.36501082
148,46,658916.18887825,5212602.73033443
149,55,658332.144916288,5212598.51221765
151,102,658348.689087008,5212590.92659485
157,166,658397.254066134,5212577.80903192
159,551,658950.733466262,5212566.1446916
163,100,658688.618297621,5212576.90073267
166,21,658357.474044156,5212579.73068904
169,53,658859.190035815,5212577.31563193
172,21,658371.47506961,5212576.73073529
174,92,658338.961818729,5212573.35035262
178,26,657826.935186753,5212573.73078154
181,60,658865.394578294,5212568.29753198
184,35,658405.47756,5212565.73090488
187,21,658758.503416104,5212563.73093572
194,21,658581.490451429,5212558.73101281
196,117,658931.404968542,5212552.12427706
197,344,657998.866383884,5212549.33871575
198,57,658576.542720629,5212549.55571567
199,75,658892.019861701,5212547.85118055
200,36,658600.99187974,5212548.73116698
201,76,658662.996421039,5212546.73119781
204,26,658482.983236623,5212544.73122865
205,21,657842.436322078,5212543.73124407
206,123,658520.485983377,5212541.84509428
207,44,658544.987777922,5212541.23128261
208,21,658591.491183896,5212541.7312749
209,40,658608.792451065,5212540.45629456
210,79,658655.318643518,5212538.71866312
214,26,658667.996787273,5212536.73135199
216,21,658497.484298701,5212535.73136741
217,31,658698.499021299,5212533.73139824
222,109,658535.147607673,5212526.77737702
231,108,658454.258910592,5212520.47234341
233,37,658397.963496146,5212520.2991729
238,26,657650.422258702,5212506.23182222
245,21,658833.50890961,5212497.73195327
246,6662,658878.113197204,5212377.88075397
250,26,659227.037732208,5212489.73207661
254,36,658824.647149452,5212485.12103659
260,21,659285.542017143,5212475.73229246
262,452,657655.586353741,5212464.00902187
267,69,658597.636561528,5212458.97892756
268,279,658694.864346488,5212452.79716219
270,699,658728.781639812,5212441.1205228
274,2989,659322.718042075,5212432.55329944
277,45,657674.646255123,5212454.37706615
279,34,658596.49155013,5212449.99739511
