"patch","area_m2","longitude","latitude"
1,34,658642.994956104,5213155.36887283
2,40,658663.746475974,5213146.72194732
3,46503,658398.673844689,5212733.96307017
4,84,658772.897327477,5213104.29403003
5,288,658788.852861162,5213092.69153034
6,137,658533.392038123,5213079.54780052
9,548,658806.457658266,5213069.81802351
10,21,658791.79156846,5213060.2947084
14,27,658635.086969504,5213011.76106515
15,12,658615.992978442,5213005.72412119
17,40,658617.968123104,5212990.09936209
18,9,658672.497116883,5212991.72433703
19,18,658629.994003896,5212984.22445266
20,9,658623.493527792,5212982.72447579
21,12,658660.996274545,5212982.72447579
22,9,658693.498655065,5212982.72447579
23,24,658640.99480961,5212979.72452204
24,37,658586.139440576,5212975.91376998
25,41,658665.716132429,5212976.06604186
26,26,658698.383628231,5212976.76302924
27,9,658654.495798442,5212976.72456829
29,71,658638.705909574,5212973.97813176
30,18,658725.000962338,5212975.72458371
31,9,658705.499534026,5212974.72459913
32,9,658648.495358961,5212973.72461455
33,317,658673.730645714,5212960.30210856
34,15,658718.500486234,5212971.72464538
35,36,658798.839703723,5212968.83580103
36,25,658630.054008291,5212965.32474405
37,1785,658794.579447719,5212923.40830348
38,24,658638.994663117,5212963.09977836
39,9,658654.495798442,5212963.72476872
40,19,658692.024862912,5212963.30372258
41,9,658608.492429091,5212961.72479956
42,9,658657.496018182,5212958.72484581
43,9,658647.495285714,5212955.72489206
45,12,658651.995615325,5212953.7249229
47,135,658745.250593597,5212944.45839909
49,12,658682.997885974,5212943.72507707
50,25,658697.938980281,5212939.32514491
54,9,658670.49697039,5212924.72537
55,25,658717.420407127,5212922.16540947
56,86,658740.804445388,5212919.14406071
57,15,658725.500998961,5212919.72544709
59,9,658730.501365195,5212917.72547793
63,82213,658882.073947127,5212641.77302249
68,339,658391.007473642,5212877.48421045
69,9,658518.485836883,5212894.72583253
71,9,658781.505100779,5212889.72590961
74,46,658275.359334308,5212881.42168982
76,27,658271.023267936,5212872.94839051
77,3723,658211.860908121,5212816.4004218
79,12,658582.990561299,5212853.72646465
81,9,658582.490524675,5212848.72654173
85,9,658586.490817662,5212847.72655715
90,75,658548.488034286,5212842.15330974
91,9,658586.490817662,5212842.72663424
92,9,658530.486715844,5212838.72669591
98,9,658541.487521558,5212834.72675758
100,82,658566.501548743,5212829.89756374
101,24,658065.952692727,5212831.72680383
104,9,658516.48569039,5212830.72681925
105,12,658534.987045455,5212828.72685008
110,18,658546.987924416,5212825.72689633
111,67,658560.84714844,5212819.02550712
112,28,658549.130938516,5212820.44126354
113,170,658749.608646992,5212805.32721085
114,315,658535.934733912,5212797.75907357
117,22,658131.912069138,5212797.18188189
119,9,658595.491476883,5212789.72745136
120,25,658613.012760166,5212788.84746493
121,186,658706.166249524,5212779.75448685
122,12,658357.474044156,5212783.22755158
123,9,658362.47441039,5212783.72754387
124,9,658569.489572468,5212781.7275747
125,9,658597.491623377,5212778.72762096
126,83,658722.585122747,5212775.13731487
127,12,658624.993637662,5212777.72763637
130,1835,658169.048254489,5212731.86294841
131,19,658926.936805031,5212759.20160621
132,34,658343.002395997,5212754.19858737
134,15,658189.061709402,5212752.32802798
135,15,658931.516087792,5212751.72803723
139,28,658504.484811428,5212742.2281837
140,15,658463.481808312,5212741.7281914
142,12,658682.997885974,5212731.72834558
143,758,658460.675534175,5212716.77870799
148,367,658269.573873256,5212705.64155432
150,12,658676.997446493,5212728.72839183
155,16,658850.010118182,5212723.22847663
158,9,658655.495871688,5212718.72854601
159,18,658707.999717143,5212714.72860768
164,23,658495.092819198,5212709.29390886
167,360,658983.789360804,5212695.56223651
168,18,658482.983236623,5212703.72877727
169,21,658628.493894026,5212702.72879269
177,51,658964.851862684,5212690.17996655
178,494,658170.893577124,5212669.18275119
179,9,658532.486862338,5212677.72917812
181,38,658253.545379645,5212671.96610908
182,114,658992.336331825,5212668.60651175
183,30,658755.803218338,5212671.32927679
185,9,658456.481295584,5212658.72947106
187,9,658434.479684156,5212655.72951731
188,12,658615.992978442,5212655.72951731
189,33,658546.790940291,5212653.03258919
190,24,658553.571739957,5212652.81289561
197,27,658453.925552843,5212646.54447373
199,233,658592.671527857,5212639.76409822
201,87,658467.14874355,5212636.63785764
204,49,658630.085847357,5212638.60733231
207,853,658283.010208141,5212621.29980195
