"patch","area_m2","longitude","latitude"
1,92,658642.994956104,5213155.39572664
2,55969,658347.861823054,5212711.22138094
3,1489,658796.635154526,5213080.1360028
4,291,658533.253241492,5213079.3759066
6,748,658779.198782129,5212943.78256282
7,851,658818.158784171,5212912.12039396
8,4834,658215.5068817,5212819.48185402
9,2878,658787.737662889,5212861.64955305
10,1203,658853.316677898,5212818.98219567
11,80,658065.952692727,5212831.72680383
12,327,658703.419871005,5212827.4363501
14,330,658749.578520008,5212805.57266161
15,551,658535.37092112,5212798.07759486
16,78,658131.957527013,5212797.22733573
17,1023,658713.11495005,5212770.15981562
18,45,658569.489572468,5212781.7275747
19,893,658861.890607586,5212778.33680951
21,9986,658541.825619625,5212716.24300451
22,2363,658922.805758766,5212730.24296857
23,2433,658168.779171682,5212732.6095486
25,328,658807.772268525,5212726.77415367
26,799,658267.190835944,5212700.88026048
28,60,658850.010118182,5212723.22847663
29,251,658802.598279139,5212709.77649279
30,490,658732.793369799,5212702.24308589
31,779,658986.182479311,5212687.92799393
32,120,658964.868530571,5212690.2289854
33,66,658922.015391948,5212682.72910104
36,1200,658666.317497613,5212662.84107433
37,152,658789.749125636,5212680.79492033
38,684,658170.888740962,5212669.16936857
39,664,658773.456318504,5212663.49295183
40,87,658946.666622726,5212658.87889404
41,7965,658931.706811114,5212578.32330332
42,52,658615.992978442,5212655.72951731
43,3607,658816.522081883,5212587.51598625
44,3435,658551.333366408,5212600.99062327
45,117,658630.058111156,5212638.64431064
46,1167,658282.478834179,5212620.38987365
47,270,658557.136815883,5212636.27796535
48,118,658716.771546044,5212634.07730876
49,577,658961.627478634,5212623.5151093
50,97,658860.077865867,5212622.8434264
51,4002,658632.568655235,5212575.54059872
53,9056,657973.440285365,5212565.03270452
55,60,658693.998691688,5212606.23028047
57,204,658965.837228971,5212596.45101948
63,157,658688.63205659,5212576.92818447
64,140,658753.824501985,5212580.19496759
65,280,658768.950609842,5212568.20586672
70,187,658862.436161973,5212572.57571914
73,52,657826.935186753,5212573.73078154
74,353,659077.441789757,5212562.00008421
75,45,658758.503416104,5212563.73093572
77,7088,658677.923163278,5212479.33240625
79,458,657998.834239761,5212549.2049588
80,120,658892.088200039,5212547.81451445
81,179,658520.391004353,5212541.87093755
82,60,658543.987704675,5212541.23128261
83,276,659126.530370909,5212535.97774042
84,45,658497.484298701,5212535.73136741
85,2755,658351.593395663,5212474.87350352
86,394,658538.675132834,5212518.30270211
87,109,658522.935704082,5212508.68591283
88,52,657650.422258701,5212506.23182222
89,73,658369.105033012,5212505.37567104
91,552,659122.992068281,5212488.44586456
92,196,659146.654293793,5212505.03796308
93,110,659167.296993077,5212505.41365302
94,8074,658876.306322082,5212377.59793725
95,19693,659171.87955128,5212437.74993997
96,66,658824.614318764,5212485.1412383
97,59,658967.518724675,5212483.73216912
98,311,658390.109874964,5212476.05061552
101,256,658983.625373099,5212479.0017733
106,643,657658.152218322,5212463.00309525
110,893,658728.654645393,5212440.6779617
112,259,657951.80726692,5212442.0764407
113,1532,658640.398160167,5212409.50420127
117,310,658911.756576062,5212427.23949172
119,537,658968.377260553,5212403.31441456
120,78,659216.036926494,5212412.73326376
121,816,658060.204722718,5212395.49946084
122,217,658810.474964508,5212410.1756995
124,523,659188.047304793,5212403.49057643
125,161,659156.867996606,5212405.27375144
128,4107,658332.806301249,5212387.46070478
129,236319,659339.093999398,5212099.59305464
130,1143,658748.409938436,5212386.92351295
131,795,659371.154576834,5212389.29588926
132,309,659244.82382453,5212392.21578074
135,209,659206.301763716,5212390.48958757
139,1315,658990.776701887,5212367.75829177
141,90,659073.470929206,5212387.01143811
142,351,659274.885966024,5212382.71378357
143,2747,658406.238081665,5212350.70182116
149,431,659089.383798734,5212363.89642971
150,56,659382.049085455,5212379.23378024
152,151,659477.43686649,5212375.98548596
153,100,658780.925058296,5212375.13384345
156,58,659330.148732476,5212375.33728859
157,494,659235.884534006,5212362.5518512
158,471,659299.672563761,5212364.13741002
160,78,659073.103380919,5212369.90059081
162,89,658043.248782671,5212366.11600496
164,158,658790.923512116,5212359.53788138
167,2592,658684.511885751,5212315.46431589
173,877,658776.424911139,5212337.74012124
174,86,658977.263624452,5212353.25743655
176,1985,658250.725671601,5212327.86857721
178,219,658169.199980729,5212345.28681504
179,709,659262.096012196,5212337.7189055
182,274,659342.706787912,5212341.12852832
183,64,658861.51096052,5212344.23431986
190,58,658293.072775593,5212337.1309811
191,52,659306.543555325,5212336.2344432
192,209,659233.901871311,5212330.71060492
193,45,658958.518065454,5212334.73446632
195,8700,658531.988320077,5212200.47308805
197,72,659361.519804084,5212330.67897329
198,118,658969.069685728,5212328.95489441
199,111,658809.335967979,5212325.32019705
203,56,658987.020152987,5212324.2346282
204,45,658995.520775584,5212323.73463591
207,56,658355.973934286,5212322.23465904
209,131,658381.903314305,5212317.97899946
211,326,659241.207481676,5212311.38206562
212,244,659011.841643078,5212313.41512289
214,218,659033.142797129,5212307.06058106
215,116,658929.127981849,5212308.6314205
216,604,658750.411763857,5212294.49998731
217,107,658826.059765894,5212307.07134142
218,232,658439.09209094,5212303.39012199
220,1555,658708.854120557,5212271.64797917
221,133,659045.494360531,5212296.02077748
224,110,658976.72849012,5212290.48969393
225,204,658929.893419926,5212284.68131646
229,1077,659404.547019214,5212263.14318384
230,86,659292.019235729,5212283.04921668
231,158,659068.728669078,5212276.27967136
232,678,658768.570525114,5212262.75769993
233,103,658904.446143987,5212275.62858148
234,257,659049.108358001,5212274.48247698
235,45,659088.527587533,5212277.73534512
237,146,658945.160922775,5212271.66694553
238,746,658432.959465575,5212253.85501625
239,58,658301.866523108,5212270.13201407
241,325,658153.228315684,5212256.47413445
245,1444,657713.462194393,5212236.78445294
246,953,658086.049127891,5212239.7474733
248,72,658685.275830592,5212253.79126984
255,7265,658691.806170472,5212166.37340068
256,94,658832.317332976,5212241.64015694
259,129,658844.284892657,5212228.00742964
261,45,658304.470162078,5212229.73608516
262,93,659330.932438375,5212227.10171717
265,553,659298.333189067,5212213.69654945
267,268,658859.645152223,5212217.48254274
268,45,658263.467158961,5212219.73623933
270,68,658456.981332208,5212217.23627788
271,723,658450.613645913,5212188.70213966
273,243,657647.821245154,5212199.88469355
274,259,658052.625461796,5212203.84073151
275,257,658610.718273049,5212203.23454823
282,708,658910.871920418,5212188.59406411
285,879,658975.968717853,5212187.01660728
287,66,658509.591246037,5212193.14574021
288,82,659407.550953247,5212192.23666331
291,171,658050.346286535,5212179.39183211
294,233,658500.82789123,5212173.94724572
296,749,659645.346740902,5212173.50731256
297,187,657775.730901721,5212176.66738464
299,52,658520.485983377,5212177.23689458
300,45,659697.572194805,5212177.73688687
301,85,659681.159227991,5212176.5016118
304,68,657793.93276961,5212170.2370025
307,124,659409.494643993,5212167.34995024
309,45,659698.572268052,5212168.73702562
312,52,659708.57300052,5212167.23704875
314,159,657774.840176274,5212159.88181624
318,120,659632.417422779,5212159.4205026
319,59,657791.432586493,5212158.7371798
321,127,658517.918866223,5212153.52466174
324,183,659403.288345965,5212148.64443923
331,45,657820.434710649,5212141.7374419
332,217,658774.384763608,5212136.11540876
334,212,657828.326798111,5212135.48753825
338,140,658055.909099978,5212134.52326741
340,147,658717.214677774,5212131.70358299
344,45,658099.455146494,5212120.73776566
345,179,659558.77990656,5212117.9054071
347,282,659533.663026749,5212114.23431983
355,95,658988.036016864,5212107.7800707
356,2032,657833.431725561,5212074.90677936
357,72,658693.998691688,5212105.23800464
360,156,658654.630423686,5212103.53931288
361,45,657799.433172468,5212100.73807401
363,2562,659630.525129618,5212071.67919338
364,52,659713.07333013,5212097.73812027
370,411,658746.161879589,5212080.64592637
372,45,658661.496311169,5212085.73830528
374,101,658699.95457345,5212080.70867985
378,132,658354.542011228,5212071.3445878
379,739,658393.660726995,5212059.60339022
380,982,658335.305414385,5212047.52606346
381,692,659525.897771421,5212056.4858661
385,119,659703.698693938,5212057.32697861
392,85,658946.893684657,5212050.11532509
394,73,659729.382743832,5212049.73886031
395,45,658437.479903896,5212046.73890656
396,964,659689.18672587,5212036.84590556
397,45,658963.518431688,5212045.73892198
398,7825,658648.398994076,5212005.93033446
400,298,658801.429378853,5212038.25581587
402,123,657670.683905294,5212037.5764462
405,144,658982.721227016,5212037.70432363
406,138,659604.355222537,5212038.43468676
407,130,658861.764825267,5212037.57750934
408,25660,659595.307728976,5211913.72942178
411,416,658364.623606261,5212021.96044243
413,60,658841.009458961,5212030.23916095
419,45,658303.470088831,5212025.73923033
421,1311,659743.989019304,5212006.08964769
424,275,658281.399381433,5212015.58302327
425,1637,658142.260969496,5212006.63078944
428,680,658237.574086045,5212012.26884977
430,59,658968.518797922,5212016.73936908
431,118,659786.705841721,5212014.46821766
438,214,659311.847682124,5212003.44518153
441,171,659446.015758767,5212002.17234221
442,1732,658634.89216865,5211975.82314079
443,59,658596.49155013,5212000.73961576
444,3091,658788.387843638,5211956.17284898
445,45,658878.512205714,5211998.7396466
446,45,660026.596292987,5211998.7396466
447,152,660040.301244125,5211994.59497366
450,78,659652.979185161,5211993.67562211
452,142,658338.648721701,5211990.38062054
455,220,658758.876170677,5211989.58524228
457,89,659438.193646998,5211989.12181735
460,45,660028.59643948,5211989.73978535
463,305,659988.868939619,5211976.62195482
466,6157,659230.461159816,5211908.03907976
467,425,658575.824154068,5211974.69531142
468,159,658690.982747526,5211976.89092685
469,45,659612.565968831,5211981.7399087
470,99,660244.672871279,5211976.35615332
471,98,658362.617277996,5211976.39305236
472,72,659696.794360058,5211974.96223541
473,229,658598.151060321,5211967.7270243
480,87,658392.85594592,5211966.13095394
483,45,659978.592777143,5211965.74015538
484,2065,659313.632210101,5211943.71918738
485,45,659935.589627533,5211964.74017079
488,298,659177.993871711,5211952.23700786
492,106,659438.600397162,5211955.75917718
496,1978,660315.688750645,5211930.68912854
497,904,659768.35392763,5211945.56236912
499,125,660201.929134608,5211949.21241019
500,3290,658460.355743488,5211920.65361646
501,186,658486.004963315,5211948.14365248
503,643,658679.099466701,5211936.92566962
510,118,660043.122927149,5211942.96932001
511,45,660059.59871013,5211945.74046373
512,4370,658589.456481096,5211909.03370701
514,1362,659375.296755369,5211920.50296736
518,432,660069.518418145,5211929.73145129
520,231,659810.576142367,5211931.02207593
522,868,660012.236946358,5211918.1913493
523,59,658809.507151688,5211928.74072582
524,68,658922.015391948,5211926.74075666
526,219,658846.144538258,5211922.65862781
527,645,659427.113626354,5211919.13622274
528,270,658817.896655036,5211918.9556915
530,163,659828.373185895,5211923.31749655
534,45,658525.48634961,5211921.74083375
535,52,658646.495212468,5211921.24084145
540,73,658532.295067469,5211910.74100334
543,99,660082.125612557,5211907.94306668
544,52,659371.548316364,5211906.24107272
547,52,659566.062562857,5211902.74112668
548,929,659776.413276017,5211888.33445966
549,376,658327.572917986,5211892.43809404
551,419,659624.325780017,5211889.23298172
552,45,659467.555348052,5211896.74121918
554,517,660108.230898711,5211887.87481817
557,259,660236.773848845,5211886.56763086
558,1095,660176.610933235,5211886.8637459
561,58,658755.106615593,5211889.34478149
562,539,659852.616945674,5211878.83982542
563,382,659941.511527229,5211875.00071667
564,175,659410.356873042,5211878.38150225
565,45,659469.555494545,5211882.74143503
569,45,659647.568532467,5211880.74146586
570,990,658310.647382183,5211861.57004427
571,52,659053.024987273,5211873.74157378
572,126,658278.793678322,5211870.94796606
573,64,658976.519383896,5211872.0540998
574,4878,659897.986832451,5211823.35161678
575,192,658248.648365279,5211867.24688225
576,202,659038.400153753,5211859.2863511
578,74,658170.879296616,5211866.34979586
580,146,659056.655390155,5211862.6869497
581,225,658891.779844121,5211857.901818
582,636,659377.707572508,5211841.59269838
583,112,659451.857769768,5211859.72393276
585,52,658991.020445974,5211860.74177421
586,72,658909.181118614,5211859.42235011
587,45,658974.519237402,5211859.74178963
588,1504,660018.122933025,5211829.50688344
589,60,658690.998471948,5211858.24181276
590,381,658151.388083992,5211850.97289595
591,1792,660220.728815094,5211844.15832453
592,74,660299.008136701,5211856.32292342
593,276,658542.71224894,5211851.12598044
594,288,659330.156395873,5211844.66216101
595,2336,658695.892237909,5211824.46878893
596,442,658574.082669053,5211845.11305589
597,83,659532.210685908,5211849.85037587
598,151,659856.451381006,5211846.86119352
600,45,659044.524364675,5211849.7419438
602,83,658693.438409689,5211847.59739855
605,58,658954.121191697,5211847.13853567
606,338,659010.968652571,5211837.70958493
607,87,658126.847957379,5211844.1213408
611,378,657965.765460695,5211837.30298214
615,112,658971.090414842,5211838.70639966
620,45,658951.517552727,5211836.74214423
621,1029,659447.842533996,5211820.04463685
622,102,659050.966012941,5211833.29121704
623,584,658131.866766941,5211824.22350162
624,161,658517.181393518,5211831.49377794
626,106,659025.277672002,5211829.13848788
627,107,658986.361226221,5211829.07871098
629,1375,658488.311263219,5211819.45295625
633,102,658541.516935477,5211819.50711584
634,45,659795.579372987,5211819.74240633
635,560,660227.216343821,5211807.04795919
636,943,659050.038024071,5211789.69939126
637,56,659743.075527532,5211815.24247571
638,59,658414.478219221,5211811.74252967
639,285,658654.418599805,5211804.53211452
640,140,658683.262191046,5211803.92122168
642,460,659756.135179691,5211798.87751062
643,5622,658584.659128901,5211769.475483
644,131,658634.654650592,5211802.84953701
645,81,658348.670930268,5211798.2982925
646,52,660195.608671688,5211799.24272239
648,45,658322.471480519,5211793.74280718
649,1063,659323.557971756,5211772.23326111
651,237,659145.700551331,5211786.40114822
652,164,660042.146212372,5211785.70634572
656,78,659117.529711688,5211782.48657047
658,101,658704.499460779,5211778.74303844
659,302,658726.650089745,5211775.59408037
660,45,659131.530737143,5211780.74300761
662,52,659365.04784026,5211779.74302303
663,464,658457.033060134,5211765.02126724
664,150,658360.727615786,5211772.30313773
665,45,659203.536010909,5211774.74310012
668,472,659287.836676732,5211758.35140369
670,529,659084.213471938,5211750.439127
671,192,659045.159827885,5211757.18087089
673,282,658854.790610156,5211753.76824619
675,2457,660273.103154981,5211722.82041672
676,77,659255.53981974,5211752.7434393
677,109,658613.089096032,5211751.04621776
678,103,659058.467133436,5211750.80172166
679,181,659547.124711735,5211745.59437825
680,262,658765.309258085,5211743.98021563
681,182,659331.600335573,5211744.52928023
683,954,659664.954501857,5211715.25240307
684,52,659035.023668831,5211741.74360889
685,554,658230.567637441,5211728.49652071
686,70,659873.627946516,5211733.87230168
687,742,658176.859737546,5211725.99183019
688,502,659701.41311357,5211716.93323444
691,1132,658455.91234932,5211706.99414465
692,1437,658516.388954008,5211709.30012858
693,58,659069.129615074,5211725.34730996
694,115,658598.169933926,5211720.78741025
695,106,659051.86452492,5211719.84772006
696,821,658336.453016118,5211700.71622682
697,56,659759.07669948,5211715.24401746
698,150,658300.849896925,5211712.91738666
699,207,658765.24787143,5211710.64746997
700,406,659061.077301173,5211698.17038907
702,530,658372.969518688,5211703.01967763
703,92,658274.098372389,5211706.7441485
705,751,659502.223666169,5211685.0653882
706,1971,659539.075045919,5211651.83936335
707,95,658253.161140976,5211703.76524706
708,471,658572.079995739,5211699.73151777
710,339,660013.008277133,5211692.15440294
711,1271,658300.581600327,5211681.65484217
712,98,659069.087388195,5211685.6322291
713,281,658490.14212394,5211685.13949939
714,64,659748.075893766,5211683.74450311
715,143,658515.352740278,5211680.08022393
716,3925,658698.270214731,5211619.74829233
717,449,658263.217697483,5211657.76049392
718,379,659988.952374944,5211651.82942788
719,73,659309.899965537,5211663.11468419
720,4991,659707.960853902,5211533.84779594
721,534,659745.115002749,5211649.26188868
722,85,659719.338494882,5211643.33336145
723,280,659475.873814451,5211631.28459763
725,1946,659748.181245778,5211564.98785513
726,2470,659609.828521373,5211596.46204314
727,1971,659932.013515791,5211584.51467836
728,16888,659408.190388995,5211508.74465501
731,136,659493.079276283,5211587.62098511
732,45,659969.592117922,5211581.74607569
733,95,660045.924024366,5211578.95664501
734,312,658889.945735429,5211563.20789997
735,469,659962.819766895,5211559.07478344
736,226,659481.494422066,5211562.38796707
737,10327,659226.246786314,5211447.99060909
738,930,660104.203052283,5211549.17668536
739,134,660424.140335038,5211555.55244969
740,786,659487.378682892,5211524.4759663
741,347,658632.742043783,5211542.87347617
743,600,660433.729445318,5211540.17838324
744,262,658657.56090843,5211542.33828632
745,17398,658762.252627361,5211464.18742147
746,112,660098.31583154,5211532.84504392
747,218,659952.228460863,5211528.04965586
748,609,658304.645872812,5211525.40047479
750,2723,660177.038453702,5211512.52165638
754,131,659934.352895731,5211515.38832015
757,1291,659173.147263119,5211495.99216932
759,98,658253.986872775,5211508.76760902
760,268,658598.68200907,5211503.76593468
761,45,659948.59057974,5211507.74721658
762,643,658904.092617362,5211497.57318993
764,378,659073.462992117,5211496.34792143
765,775,660558.329431409,5211492.71389998
766,1415,659920.987851364,5211491.36725711
767,45,658233.464961559,5211503.74727825
771,196,658274.365916385,5211492.73214196
772,494,658866.057852245,5211471.97448877
773,247,660072.295996372,5211477.53715604
774,6434,659857.833699444,5211356.8238363
775,1132,659825.508243464,5211456.05896756
776,1113,658631.371912543,5211446.6448343
777,135,659182.364089878,5211458.58501159
778,66,658835.09993523,5211455.64195932
779,275,659047.386392476,5211447.25360381
780,45,659144.531689351,5211456.74800288
781,1024,659889.474921903,5211424.36276
783,70,659215.036853247,5211450.24810309
784,52,658351.973641299,5211450.74809538
786,104,658828.181596354,5211444.70972694
789,214,658088.201985848,5211439.45854981
791,327,660134.790761643,5211436.52507308
793,73,658675.141146152,5211435.11819937
795,170,658138.95803974,5211430.6131117
796,313,658836.65290985,5211419.2629578
797,72,658664.440971284,5211427.77622733
798,88,658823.599092893,5211426.20301927
799,172,658682.957185318,5211418.15557463
800,218,659139.178086236,5211414.65232162
801,1302,658252.403368603,5211390.77206155
802,1749,658883.077434303,5211375.08659753
805,870,660483.598729997,5211393.76851411
807,352,658980.587863696,5211397.42789473
808,59,658707.49968052,5211392.7489896
809,3376,658948.037736249,5211347.76804803
811,197,658691.615268392,5211379.7948746
815,76,658918.015098961,5211379.24919773
816,73,658042.450971429,5211366.55761259
817,2042,659158.602259565,5211336.38453049
818,79,658700.929579063,5211365.88864423
819,127,658669.30003233,5211362.15103615
821,18683,658414.153675833,5211267.43625053
823,1112,659773.025562842,5211340.26598582
825,677,658656.321633793,5211342.59466685
826,79,658690.131319829,5211352.33189122
827,74,659113.624020225,5211350.19559162
828,105,659099.433148176,5211347.4639735
830,1191,659870.071814643,5211312.40849862
831,52,658676.997446493,5211323.7500534
832,547,658175.553955908,5211305.94411221
833,575,658257.404106199,5211311.49980749
834,599,658662.459653845,5211301.29464001
837,52,659121.029968052,5211311.75023841
838,502,660434.365202373,5211300.07113561
839,4234,659269.691304963,5211256.81603577
840,74,659269.392185658,5211300.87202775
841,95,658514.296056333,5211298.98201421
843,135,658217.38230216,5211289.38762023
845,447,659173.4913048,5211275.16467273
847,52,658981.019713507,5211273.75082428
849,121,659007.90184768,5211259.95764851
850,81,658516.707928889,5211246.28211198
851,873,658461.70046364,5211214.4676604
852,265,658523.98435281,5211229.23830301
853,163,658578.981065184,5211233.56739473
854,5306,659389.1487385,5211191.10245661
855,180,659698.54448824,5211228.71262977
856,166,658544.770894568,5211227.75153348
858,236,659012.924592637,5211223.7982046
859,1229,659644.546342037,5211188.77084887
860,1156,660063.163850139,5211192.65605382
861,52,660094.601273766,5211204.25189579
862,487,659183.306603201,5211189.39483533
863,45,660084.600541299,5211194.75204226
865,79,658990.558386816,5211183.3851289
866,101711,659014.95514134,5211000.6643365
869,261,658796.586665144,5211161.67975522
872,45,658367.474776623,5211166.75247395
874,52,658375.975399221,5211163.7525202
877,404,658240.398637707,5211144.09440744
878,1283,659576.359887585,5211142.01240332
880,314,659210.307207478,5211128.940955
883,2630,659714.52324621,5211110.90466579
885,4765,659981.482810429,5211089.23677504
886,73,658326.471773506,5211123.94491476
887,316,658362.999765323,5211117.17728892
889,59,658246.465913766,5211106.753399
