"patch","area_m2","longitude","latitude"
1,56,658642.994956104,5213155.43609868
2,49902,658344.571832696,5212707.06422342
3,492,658784.856972291,5213095.37111302
4,205,658533.203988032,5213079.45469175
7,695,658805.732774528,5213069.11307193
10,59,658798.82840346,5212968.86028276
11,590,658778.882874826,5212943.36915036
12,692,658817.830015602,5212912.11573782
14,458,658391.120613281,5212877.39203864
15,79,658275.316128062,5212881.4348982
16,2447,658789.161975433,5212862.80397079
17,4178,658213.272721521,5212817.46948415
18,1038,658853.383197601,5212818.74049153
19,46,658065.952692727,5212831.72680383
21,239,658703.20647905,5212827.51347967
23,237,658749.642007588,5212805.45716665
24,420,658535.682334474,5212797.91303945
25,42,658131.957527013,5212797.22733573
26,796,658713.09305501,5212769.84333582
29,21,658569.489572468,5212781.7275747
30,713,658861.714341474,5212778.37980023
32,7848,658552.206578809,5212717.1840999
33,222,658887.571427783,5212763.66479013
34,2102,658169.073470935,5212732.37391126
36,1698,658928.211958867,5212725.3150169
39,931,658462.593451089,5212716.53201704
40,242,658807.788017512,5212726.79040518
41,505,658269.40818815,5212705.44558248
44,32,658850.010118182,5212723.22847663
45,181,658802.368507297,5212709.72315999
46,394,658732.861944178,5212702.3404738
47,443,658983.774994314,5212695.52574347
48,76,658964.834317539,5212690.2289854
49,36,658922.015391948,5212682.72910103
52,976,658666.233338443,5212662.79498214
53,100,658789.89571532,5212680.84913002
54,571,658170.892953129,5212669.25470283
55,64,658253.544557216,5212672.01051629
56,159,658992.375891161,5212668.58466502
57,501,658773.923707184,5212663.3242106
59,51,658946.595623611,5212658.80790122
60,1424,658897.103455004,5212640.56191408
61,26,658615.992978442,5212655.72951731
62,2979,658816.901113843,5212588.65770816
63,306,658592.445502158,5212639.72649607
64,75,658630.080676911,5212638.63644751
65,983,658282.63234698,5212620.74226426
66,190,658557.157090272,5212636.27718564
67,76,658716.816152344,5212634.0456411
68,471,658961.843149753,5212623.54530014
69,2585,658545.611227839,5212595.745916
70,59,658860.104077816,5212622.86561722
71,2115,658905.858889474,5212584.40532146
72,3567,658632.450729947,5212575.66851449
74,7540,657978.023573631,5212564.36501082
77,32,658693.998691688,5212606.23028047
78,46,658916.18887825,5212602.73033443
79,141,658965.958326702,5212596.43255919
84,551,658950.733466262,5212566.1446916
88,100,658688.618297621,5212576.90073267
89,92,658753.89438288,5212580.25242012
90,21,658769.504221818,5212581.7306582
91,2348,658971.609313884,5212539.72449153
96,53,658859.190035815,5212577.31563193
101,161,658768.8457885,5212565.81164898
102,26,657826.935186753,5212573.73078154
103,60,658865.394578294,5212568.29753198
104,269,659077.229362265,5212561.89825021
106,21,658758.503416104,5212563.73093572
108,5444,658677.433922253,5212482.47061619
110,21,658581.490451429,5212558.73101281
113,117,658931.404968542,5212552.12427706
114,344,657998.866383884,5212549.33871575
115,75,658892.019861701,5212547.85118055
117,21,657842.436322078,5212543.73124407
118,123,658520.485983377,5212541.84509428
119,32,658543.987704675,5212541.23128261
120,204,659126.353887395,5212535.88822773
124,21,658497.484298701,5212535.73136741
125,2385,658351.550339854,5212474.601073
126,109,658535.147607673,5212526.77737702
127,159,658541.254800111,5212511.94557061
128,67,658522.844365063,5212508.59745739
130,26,657650.422258702,5212506.23182222
