"patch","area_m2","longitude","latitude"
1,51,658742.799019608,5212762.94607843
2,29,658738.25,5212755.75
3,109,658681.415137615,5212662.28211009
4,80,658655.375,5212648.975
5,29,658501.25,5212558.75
6,36,658509.75,5212548.75
7,56,659145.75,5212527.25
8,29,659136.25,5212517.75
9,56,658820.75,5212505.25
10,43,659221.25,5212503.75
11,42,659122.75,5212495.75
12,38,659191.75,5212492.25
13,36,659257.75,5212474.75
14,29,659268.25,5212474.75
15,364,659320.211538462,5212468.52197802
18,29,659178.25,5212469.75
19,58,659186.75,5212462.25
20,36,659119.75,5212464.75
21,29,659321.25,5212459.75
22,67,659347.279850746,5212459.75
24,90,659172.338888889,5212455.99444444
25,29,659203.25,5212458.75
26,29,659296.25,5212456.75
27,473,659314.032241015,5212441.61257928
28,87,658876.16954023,5212445.73850575
29,52,659231.75,5212447.75
33,149,659381.874161074,5212444.15268456
34,29,659222.25,5212443.75
35,52,659365.75,5212437.25
36,84,659414.047619048,5212428.9047619
37,29,659343.25,5212430.75
38,129,659317.44379845,5212423.22286822
41,202,659357.938118812,5212417.51237624
42,143015,659461.303302101,5212109.62897074
44,29,659252.25,5212414.75
47,63,659261.027777778,5212411.79761905
48,29,659333.25,5212408.75
49,89,659448.025280899,5212398.04213483
51,29,659178.25,5212400.75
53,29,659242.25,5212394.75
54,85,659370.861764706,5212389.59705882
56,63,659362.488095238,5212379.4484127
57,29,659143.25,5212377.75
58,71,659478.503521127,5212375.62323944
59,29,659188.25,5212373.75
60,36,659152.25,5212372.25
61,41,659103.591463415,5212367.40853659
62,36,659203.25,5212367.25
63,43,659009.25,5212365.75
64,29,659174.25,5212359.75
65,65,659388.803846154,5212358.10384615
67,36,659397.75,5212357.75
68,64,659188.890625,5212354.6875
70,121,659026.324380165,5212349.13842975
72,75,659018.09,5212341.16333333
73,102,659047.975490196,5212338.74019608
74,60,658439.016666667,5212340.98333333
75,273,659168.616300366,5212333.83791209
78,29,658923.25,5212336.75
81,136,659032.132352941,5212331.79411765
86,679,659076.364874816,5212315.63512518
90,201,659287.981343284,5212314.61567164
91,64,658914.25,5212318.25
93,29,659502.25,5212317.75
95,1388,659120.086455331,5212295.89409222
98,108,659159.425925926,5212312.80555556
99,29,659202.25,5212314.75
100,29,659303.25,5212314.75
101,69,659007.467391304,5212311.83695652
105,56,659033.517857143,5212305.92857143
106,73,659351.099315068,5212300.1609589
107,560,659371.228571429,5212281.57678571
109,57,659270.337719298,5212293.20614035
110,36,659191.75,5212292.75
112,1011,659199.492334322,5212270.58679525
113,57,659180.495614035,5212287.06578947
115,53,659278.966981132,5212286.48584906
117,108,659001.666666667,5212279.0462963
122,119,659158.602941177,5212277.66596639
126,45,659045.25,5212275.03888889
127,448,659311.535714286,5212262.50223214
128,29,658756.25,5212272.75
129,232,659401.935344828,5212259.37931035
130,36,658943.75,5212270.75
131,400,658993.385,5212258.4225
132,167,659231.555389222,5212266.07335329
134,88,659256.75,5212265.52272727
136,825,659374.502121212,5212240.25424242
137,212,659090.688679245,5212259.34433962
